security_id,symbol,gics_sector,gics_industry,sector_etf,active,excluded_reason,min_history_date,last_model_run
1,AAPL,Tech,,XLK,True,,2014-01-06,2026-05-04 07:14:09
2,ABBV,Health Care,,XLV,True,,2015-12-31,2026-05-04 07:14:09
3,ABT,Health Care,,XLV,True,,2014-01-06,2026-05-04 07:14:09
4,ADBE,Tech,,XLK,True,,2014-01-06,2026-05-04 07:14:09
5,AEP,Utilities,,XLU,True,,2014-01-06,2026-05-04 07:14:09
6,AMAT,Tech,,XLK,True,,2014-01-06,2026-05-04 07:14:09
7,AMD,Tech,,XLK,True,,2014-01-06,2026-05-04 07:14:09
8,AMGN,Health Care,,XLV,True,,2014-01-06,2026-05-04 07:14:09
9,AMT,REIT,,XLRE,True,,2014-01-06,2026-05-04 07:14:09
10,AMZN,Cons Disc,,XLY,True,,2014-01-06,2026-05-04 07:14:09
11,APD,Materials,,XLB,True,,2014-01-06,2026-05-04 07:14:09
12,AVGO,Tech,,XLK,True,,2014-01-06,2026-05-04 07:14:09
13,AXP,Financials,,XLF,True,,2014-01-06,2026-05-04 07:14:09
14,BA,Industrials,,XLI,True,,2014-01-06,2026-05-04 07:14:09
15,BAC,Financials,,XLF,True,,2014-01-06,2026-05-04 07:14:09
16,BKNG,Cons Disc,,XLY,True,,2021-02-26,2026-05-04 07:14:09
17,BLK,Financials,,XLF,True,,2014-01-06,2026-05-04 07:14:09
18,BMY,Health Care,,XLV,True,,2014-01-06,2026-05-04 07:14:09
19,C,Financials,,XLF,True,,2014-01-06,2026-05-04 07:14:09
20,CAT,Industrials,,XLI,True,,2014-01-06,2026-05-04 07:14:09
21,CCI,REIT,,XLRE,True,,2014-01-06,2026-05-04 07:14:09
22,CL,Staples,,XLP,True,,2014-01-06,2026-05-04 07:14:09
23,CMCSA,Comm,,XLC,True,,2014-01-06,2026-05-04 07:14:09
24,COP,Energy,,XLE,True,,2014-01-06,2026-05-04 07:14:09
25,COST,Staples,,XLP,True,,2014-01-06,2026-05-04 07:14:09
26,CRM,Tech,,XLK,True,,2014-01-06,2026-05-04 07:14:09
27,CSCO,Tech,,XLK,True,,2014-01-06,2026-05-04 07:14:09
28,CVS,Health Care,,XLV,True,,2014-01-06,2026-05-04 07:14:09
29,CVX,Energy,,XLE,True,,2014-01-06,2026-05-04 07:14:09
30,D,Utilities,,XLU,True,,2014-01-06,2026-05-04 07:14:09
31,DE,Industrials,,XLI,True,,2014-01-06,2026-05-04 07:14:09
32,DIS,Comm,,XLC,True,,2014-01-06,2026-05-04 07:14:09
33,DOW,Materials,,XLB,True,,2014-01-06,2026-05-04 07:14:09
34,DUK,Utilities,,XLU,True,,2014-01-06,2026-05-04 07:14:09
35,EOG,Energy,,XLE,True,,2014-01-06,2026-05-04 07:14:09
36,EQIX,REIT,,XLRE,True,,2014-01-06,2026-05-04 07:14:09
37,F,Cons Disc,,XLY,True,,2014-01-06,2026-05-04 07:14:09
38,FCX,Materials,,XLB,True,,2014-01-06,2026-05-04 07:14:09
39,FDX,Industrials,,XLI,True,,2014-01-06,2026-05-04 07:14:09
40,GE,Industrials,,XLI,True,,2014-01-06,2026-05-04 07:14:09
41,GILD,Health Care,,XLV,True,,2014-01-06,2026-05-04 07:14:09
42,GM,Cons Disc,,XLY,True,,2014-01-06,2026-05-04 07:14:09
43,GOOGL,Comm,,XLC,True,,2017-04-03,2026-05-04 07:14:09
44,GS,Financials,,XLF,True,,2014-01-06,2026-05-04 07:14:09
45,HD,Cons Disc,,XLY,True,,2014-01-06,2026-05-04 07:14:09
46,HON,Industrials,,XLI,True,,2014-01-06,2026-05-04 07:14:09
47,IBM,Tech,,XLK,True,,2014-01-06,2026-05-04 07:14:09
48,INTC,Tech,,XLK,True,,2014-01-06,2026-05-04 07:14:09
49,JNJ,Health Care,,XLV,True,,2014-01-06,2026-05-04 07:14:09
50,JPM,Financials,,XLF,True,,2014-01-06,2026-05-04 07:14:09
51,KO,Staples,,XLP,True,,2014-01-06,2026-05-04 07:14:09
52,LLY,Health Care,,XLV,True,,2014-01-06,2026-05-04 07:14:09
53,LMT,Industrials,,XLI,True,,2014-01-06,2026-05-04 07:14:09
54,LOW,Cons Disc,,XLY,True,,2014-01-06,2026-05-04 07:14:09
55,MCD,Staples,,XLP,True,,2014-01-06,2026-05-04 07:14:09
56,MMM,Industrials,,XLI,True,,2014-01-06,2026-05-04 07:14:09
57,MO,Staples,,XLP,True,,2014-01-06,2026-05-04 07:14:09
58,MPC,Energy,,XLE,True,,2014-07-03,2026-05-04 07:14:09
59,MRK,Health Care,,XLV,True,,2014-01-06,2026-05-04 07:14:09
60,MS,Financials,,XLF,True,,2014-01-06,2026-05-04 07:14:09
61,NEE,Utilities,,XLU,True,,2014-01-06,2026-05-04 07:14:09
62,NEM,Materials,,XLB,True,,2014-01-06,2026-05-04 07:14:09
63,NFLX,Comm,,XLC,True,,2014-01-06,2026-05-04 07:14:09
64,NKE,Cons Disc,,XLY,True,,2014-01-06,2026-05-04 07:14:09
65,NOC,Industrials,,XLI,True,,2014-01-06,2026-05-04 07:14:09
66,NVDA,Tech,,XLK,True,,2014-01-06,2026-05-04 07:14:09
67,ORCL,Tech,,XLK,True,,2014-01-06,2026-05-04 07:14:09
68,PEP,Staples,,XLP,True,,2014-01-06,2026-05-04 07:14:09
69,PFE,Health Care,,XLV,True,,2014-01-06,2026-05-04 07:14:09
70,PG,Staples,,XLP,True,,2014-01-06,2026-05-04 07:14:09
71,PLD,REIT,,XLRE,True,,2014-01-06,2026-05-04 07:14:09
72,PM,Staples,,XLP,True,,2014-01-06,2026-05-04 07:14:09
73,PSX,Energy,,XLE,True,,2015-05-04,2026-05-04 07:14:09
74,QCOM,Tech,,XLK,True,,2014-01-06,2026-05-04 07:14:09
75,RTX,Industrials,,XLI,True,,2023-04-04,2026-05-04 07:14:09
76,SBUX,Staples,,XLP,True,,2014-01-06,2026-05-04 07:14:09
77,SCHW,Financials,,XLF,True,,2014-01-06,2026-05-04 07:14:09
78,SLB,Energy,,XLE,True,,2014-01-06,2026-05-04 07:14:09
79,SO,Utilities,,XLU,True,,2014-01-06,2026-05-04 07:14:09
80,SPG,REIT,,XLRE,True,,2014-01-06,2026-05-04 07:14:09
81,T,Comm,,XLC,True,,2014-01-06,2026-05-04 07:14:09
82,TGT,Cons Disc,,XLY,True,,2014-01-06,2026-05-04 07:14:09
83,TMO,Health Care,,XLV,True,,2014-01-06,2026-05-04 07:14:09
84,TSLA,Cons Disc,,XLY,True,,2014-01-06,2026-05-04 07:14:09
85,TXN,Tech,,XLK,True,,2014-01-06,2026-05-04 07:14:09
86,UNH,Health Care,,XLV,True,,2014-01-06,2026-05-04 07:14:09
87,UPS,Industrials,,XLI,True,,2014-01-06,2026-05-04 07:14:09
88,USB,Financials,,XLF,True,,2014-01-06,2026-05-04 07:14:09
89,WFC,Financials,,XLF,True,,2014-01-06,2026-05-04 07:14:09
90,WMT,Staples,,XLP,True,,2014-01-06,2026-05-04 07:14:09
91,XOM,Energy,,XLE,True,,2014-01-06,2026-05-04 07:14:09
92,LIN,Other,,,False,R²=0.94 leakage from Linde-Praxair merger,,
93,OXY,Other,,,False,RMSE explosion,,
94,VZ,Other,,,False,Frontier Communications acquisition β=2.6 at H=126,,
95,META,Other,,,False,Insufficient post-IPO history,,
